carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 0.9523797777639986}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0163256817787054}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.9688621781454464}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9324732897943214}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.166220261317316}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.68575275}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1605309177906258}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0466181642637897}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8531178001328027}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.033523337209175}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.168713900892617}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.7079248}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1503719998616277}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0270409845586768}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8396903882776293}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9976301846717468}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1243019965257086}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.69841063}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1564246388498616}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.985297588511302}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8355722291185923}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9912135304027874}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1511585608121506}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6971093}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1496462283175983}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0093472707539155}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8410461107073155}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9859466040178583}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.105667423728908}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6948389}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1507988141966286}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0188861510079226}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.853398275906486}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.009227860622118}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1204744622275011}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6994525}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1498249360114827}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9450227982755209}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0115460341421898}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8382010534748072}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9977514054924933}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1470886313541377}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6980834}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1522231749392222}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 0.9903210173838523}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8422428474977038}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9948680391720764}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1289034585084727}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.69617116}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1506084142395698}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0102169912381367}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.8428383505224997}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.000876358317052}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.120746006055088}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6973854}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.1517794474132723}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.9474122845359748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 1.0062915807379478}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.840354929346074}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 0.9941092744235662}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1252536818078571}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': nan}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': nan}","{'display_name': 'Score', 'weight': None, 'value': 0.6968523}"
